Name,Status,Pop-2002,Pop-2007,Pop-2012,Pop-2014
Ontario,Province,12093299,12764195,13410082,13678740
Algoma,District,122624,121027,118551,117133
Brant,Census Division,130070,136466,140897,143506
Bruce,County,67000,67369,67831,68036
Chatham-Kent,Census Division,111531,111162,106260,105672
Cochrane,District,88386,86181,82838,82303
Dufferin,County,53930,57013,58760,60073
Durham,Regional Municipality,538113,593870,636140,653567
Elgin,County,85199,89141,90162,90506
Essex,County,397657,406010,401169,401824
Frontenac,County,146315,149436,154961,157056
Greater Sudbury / Grand Sudbury,Census Division,160860,164388,165077,165279
Grey,County,93201,95205,94921,95478
Haldimand-Norfolk,Census Division,110178,112084,111446,111351
Haliburton,County,15956,16731,17736,17907
Halton,Regional Municipality,403255,468143,528495,551027
Hamilton,Census Division,514877,524002,540955,551751
Hastings,County,133446,137399,138310,138340
Huron,County,61855,61032,59522,58975
Kawartha Lakes,Census Division,72921,76178,75471,75804
Kenora,District,66985,68053,69894,70267
Lambton,County,132308,132413,130933,129917
Lanark,County,65486,66088,67356,67645
Leeds and Grenville,United Counties,100922,102308,101858,101355
Lennox and Addington,County,41132,42006,43623,43589
Manitoulin,District,12783,13064,13443,13524
Middlesex,County,426851,442471,457678,465347
Muskoka,District Municipality,56424,59859,61523,62382
Niagara,Regional Municipality,430444,441312,444366,446192
Nipissing,District,86570,87161,87508,87427
Northumberland,County,81096,83505,84613,85730
Ottawa,Census Division,818212,855530,924224,947031
Oxford,County,103650,106355,109739,110512
Parry Sound,District,41493,42540,43146,42740
Peel,Regional Municipality,1073664,1244118,1364782,1416075
Perth,County,76876,77021,77554,78025
Peterborough,County,132685,137363,138834,139721
Prescott and Russell,United Counties,80372,83854,88603,89248
Prince Edward,Census Division,26126,25943,25590,25532
Rainy River,District,22709,21948,20548,20138
Renfrew,County,99182,101884,104143,104231
Simcoe,County,403551,441904,465845,479040
"Stormont, Dundas and Glengarry",United Counties,115678,115427,115535,115011
Sudbury,District,23865,22378,21368,20887
Thunder Bay,District,156491,152281,149928,149365
Timiskaming,District,35117,34330,33739,33308
Toronto,Census Division,2604609,2617600,2741280,2808503
Waterloo,Regional Municipality,465653,502876,529548,538302
Wellington,County,197633,209012,217241,220477
York,Regional Municipality,807358,960754,1086138,1121631
