Name,Status,"Population
Census
2001-03-01","Population
Estimate
2011-01-01","Population
Estimate
2015-01-01"
Jihočeský kraj [South Bohemian Region],Region,625267,635771,637300
České Budějovice [Budweis],District,178201,186415,189861
Český Krumlov,District,59569,61567,61110
Jindřichův Hradec,District,92887,92649,91778
Písek,District,70550,70388,70634
Prachatice,District,51369,51169,50800
Strakonice,District,69863,70879,70653
Tábor,District,102828,102704,102464
Jihomoravský kraj [South Moravian Region],Region,1127718,1163627,1172853
Blansko,District,107702,106362,107925
Břeclav,District,124274,114648,115049
Brno-město [Brno City],District,376172,379871,377440
Brno-venkov [Brno Country],District,159169,203858,213149
Hodonín,District,159886,156858,155431
Vyškov,District,86467,88924,90460
Znojmo,District,114048,113106,113399
Karlovarský kraj [Karlovy Vary Region],Region,304343,303804,299293
Cheb,District,88738,93079,92019
Karlovy Vary [Carlsbad],District,121998,118816,117016
Sokolov,District,93607,91909,90258
Královéhradecký kraj [Hradec Králové Region],Region,550724,554555,551590
Hradec Králové,District,160558,162741,162808
Jičín,District,77761,79945,79375
Náchod,District,112714,112444,111130
Rychnov nad Kněžnou,District,78914,79144,78926
Trutnov,District,120777,120281,119351
Liberecký kraj [Liberec Region],Region,428184,437920,438851
Česká Lípa,District,105669,103242,102816
Jablonec nad Nisou,District,88154,89760,90003
Liberec ,District,159006,170057,171756
Semily,District,75355,74861,74276
Moravskoslezský kraj [Moravian-Silesian Region],Region,1269467,1234705,1217676
Bruntál,District,105139,96723,94573
Frýdek-Místek,District,226818,211392,212987
Karviná,District,279436,265264,255945
Nový Jičín,District,159925,152322,151724
Opava,District,181405,177179,176807
Ostrava-město [Ostrava City],District,316744,331825,325640
Olomoucký kraj [Olomouc Region],Region,639369,639030,635711
Jeseník,District,42413,40691,39584
Olomouc,District,224613,231445,233192
Přerov,District,135886,133460,131646
Prostějov,District,109890,109549,109037
Šumperk,District,126567,123885,122252
Pardubický kraj [Pardubice Region],Region,508281,516260,516372
Chrudim,District,105240,104475,104148
Pardubice,District,160987,167354,169248
Svitavy,District,102667,105225,104495
Ústí nad Orlicí,District,139387,139206,138481
Plzeňský kraj [Plzeň Region],Region,550688,571256,575123
Domažlice,District,58844,60655,61016
Klatovy,District,88043,87801,86859
Plzeň-jih [Pilsen South],District,67700,61929,62226
Plzeň-město [Pilsen City],District,166118,184849,187245
Plzeň-sever [Pilsen North],District,72756,75136,77022
Rokycany,District,45788,47587,47887
Tachov,District,51439,53299,52868
Praha (Hlavni mĕsto Praha) [Capital Prague],Region,1169106,1234037,1259079
Praha [Prague],District,1169106,1234037,1259079
Středočeský kraj [Central Bohemian Region],Region,1122473,1264986,1315299
Benešov,District,93156,94853,96718
Beroun,District,75684,84904,89172
Kladno,District,150198,158182,161621
Kolín,District,95700,96057,98125
Kutná Hora,District,73628,74178,74244
Mělník,District,94677,103989,104973
Mladá Boleslav,District,114325,122758,125931
Nymburk,District,84132,93433,96689
Praha-východ [Prague East],District,96061,146929,164002
Praha-západ [Prague West],District,83089,120954,134351
Příbram,District,107739,113256,114084
Rakovník,District,54084,55493,55389
Ústecký kraj [Ústí Region],Region,820219,828448,823972
Chomutov,District,124979,125918,124644
Děčín,District,133887,132942,131699
Litoměřice,District,114259,119103,118966
Louny,District,86020,86397,86463
Most,District,117196,114857,113857
Teplice,District,126098,128469,128851
Ústí nad Labem,District,117780,120762,119492
Vysočina [Vysočina Region],Region,519211,512245,509895
Havlíčkův Brod,District,95040,95127,94885
Jihlava,District,108413,111979,112417
Pelhřimov,District,72984,72472,72061
Třebíč,District,117367,113713,112076
Žďár nad Sázavou,District,125407,118954,118456
Zlínský kraj [Zlín Region],Region,595010,590087,585261
Kroměříž,District,108053,107658,106468
Uherské Hradiště,District,144517,144055,142989
Vsetín,District,147064,145249,144011
Zlín,District,195376,193125,191793
