,name,pop,
0,Bezirk Aarau,70594,
1,Bezirk Baden,131565,
2,Bezirk Bremgarten,69329,
3,Bezirk Brugg,46672,
4,Bezirk Kulm,37887,
5,Bezirk Laufenburg,29282,
6,Bezirk Lenzburg,53169,
7,Bezirk Muri,32339,
8,Bezirk Rheinfelden,43805,
9,Bezirk Zofingen,64710,
10,Bezirk Zurzach,32114,
11,Bezirk Hinterland,23577,
12,Bezirk Mittelland,16195,
13,Heiden,13245,Modified from Bezirk Vorderlandk
14,Appenzell Innerrhoden,15688,
15,Bezirk Arlesheim,148996,
16,Bezirk Laufen,18901,
17,Bezirk Liestal,57229,
18,Bezirk Sissach,33688,
19,Bezirk Waldenburg,15590,
20,Basel-Stadt,184950,Modified from Basel-Stadt [Basel City]
21,Bernese Jura,51668,Modified from Arrondissement administratif Jura bernois [Bernese Jura]
22,Verwaltungskreis Bern-Mittelland,388546,
23,Verwaltungskreis Biel/Bienne,93859,
24,Verwaltungskreis Emmental,93677,
25,Verwaltungskreis Frutigen-Niedersimmental,39171,
26,Verwaltungskreis Interlaken-Oberhasli,46510,
27,Verwaltungskreis Oberaargau,77181,
28,Verwaltungskreis Obersimmental-Saanen,16810,
29,Verwaltungskreis Seeland,68288,
30,Verwaltungskreis Thun,104092,
31,Bezirk See,32911,Modified from Bezirk See / District du Lac [Lake District]
32,Bezirk Sense,41113,
33,District de la Broye,26525,
34,District de la Glâne,20708,
35,District de la Gruyère,46415,
36,District de la Sarine,94849,
37,District de la Veveyse,15972,
38,Genève,457715,Modified from Genève [Geneva]
39,Glarus,38608,
40,Bezirk Albula,8227,
41,Bezirk Hinterrhein,12672,
42,Bezirk Imboden,18773,
43,Bezirk Inn,9670,
44,Bezirk Landquart,24093,
45,Bezirk Maloja / Distretto di Maloggia,18652,
46,Bezirk Plessur,40067,
47,Bezirk Prättigau-Davos,26198,
48,Bezirk Surselva,21777,
49,Distretto di Bernina,4629,
50,Distretto di Moesa,7863,
51,District de Delémont,35921,
52,District de Porrentruy,24145,
53,District des Franches-Montagnes,9966,
54,Wahlkreis Entlebuch,22802,
55,Wahlkreis Hochdorf,66081,
56,Wahlkreis Luzern-Land [Lucerne Country],95438,
57,Wahlkreis Luzern-Stadt [Lucerne City],77491,
58,Wahlkreis Sursee,66624,
59,Wahlkreis Willisau,49174,
60,District de Boudry,38866,
61,District de la Chaux-de-Fonds,38688,
62,District de Neuchâtel,52669,
63,District du Locle,14099,
64,District du Val-de-Ruz,15831,
65,District du Val-de-Travers,11932,
66,Nidwalden [Nidwald],41024,
67,Obwalden [Obwald],35585,
68,Bezirk Oberklettgau,4045,
69,Bezirk Reiat,7946,
70,Bezirk Schaffhausen,51457,
71,Bezirk Schleitheim,2947,
72,Bezirk Stein,5222,
73,Bezirk Unterklettgau,4739,
74,Bezirk Einsiedeln,14385,
75,Bezirk Gersau,2094,
76,Bezirk Höfe,27336,
77,Bezirk Küssnacht,12224,
78,Bezirk March,38983,
79,Bezirk Schwyz,51708,
80,Bezirk Bucheggberg,7543,
81,Bezirk Dorneck,19517,
82,Bezirk Gäu,18135,
83,Bezirk Gösgen,23155,
84,Bezirk Lebern,43228,
85,Bezirk Olten,51240,
86,Bezirk Solothurn,16066,
87,Bezirk Thal,14216,
88,Bezirk Thierstein,13947,
89,Bezirk Wasseramt,48237,
90,Wahlkreis Rheintal,67509,
91,Wahlkreis Rorschach,41047,
92,Wahlkreis Sarganserland,37775,
93,Wahlkreis See-Gaster,62499,
94,Wahlkreis St. Gallen,117823,
95,Wahlkreis Toggenburg,45056,
96,Wahlkreis Werdenberg,35644,
97,Wahlkreis Wil,71554,
98,Bezirk Arbon,51893,
99,Bezirk Frauenfeld,61778,
100,Bezirk Kreuzlingen,42559,
101,Bezirk Münchwilen,42024,
102,Bezirk Weinfelden,50190,
103,Distretto di Bellinzona,48231,
104,Distretto di Blenio,5530,
105,Distretto di Leventina,9600,
106,Distretto di Locarno,61707,
107,Distretto di Lugano,141661,
108,Distretto di Mendrisio,48729,
109,Distretto di Riviera,12533,
110,Distretto di Vallemaggia,5762,
111,Uri,35422,
112,Bezirk Brig,25033,
113,Bezirk Goms,4745,
114,Bezirk Leuk,12294,
115,Bezirk Raron,10829,
116,Bezirk Visp,27934,
117,District de Conthey,24211,
118,District de Martigny,41361,
119,District de Monthey,40766,
120,District d'Entremont,14223,
121,District de Saint-Maurice,12360,
122,District de Sierre,46134,
123,District de Sion,42431,
124,District d'Hérens,10363,
125,District d'Aigle,40143,
126,District de la Broye-Vully,36246,
127,District de la Riviera-Pays-d'Enhaut,79431,
128,District de Lausanne,150362,
129,District de Lavaux-Oron,55915,
130,District de l'Ouest lausannois,68232,
131,District de Morges,73747,
132,District de Nyon,89601,
133,District du Gros-de-Vaud,37917,
134,District du Jura-Nord vaudois,81687,
135,Zug,113105,
136,Bezirk Affoltern,48096,
137,Bezirk Andelfingen,29511,
138,Bezirk Bülach,131879,
139,Bezirk Dielsdorf,80090,
140,Bezirk Dietikon,80547,
141,Bezirk Hinwil,87822,
142,Bezirk Horgen,115301,
143,Bezirk Meilen,97034,
144,Bezirk Pfäffikon,55768,
145,Bezirk Uster,120607,
146,Bezirk Winterthur,153556,
147,Bezirk Zürich,372857,
