"$1,1_1$",0.16666666666666766
"$2,1_1$",0.16666666666666632
"$2,1_2$",0.16666666666666674
"$2,2_1$",0.1666666666666666
"$3,1_1$",0.23570226039551562
"$3,1_2$",-4.697889646189318e-16
"$3,1_3$",0.23570226039551512
"$3,1_4$",1.652557685232899e-16
"$3,3_1$",0.2357022603955158
"$3,3_2$",2.47379365832111e-18
"$3,3_3$",0.23570226039551562
"$3,3_4$",1.9641901790146334e-16
"$6,1_1$",0.23570226039551587
"$6,1_2$",1.7606856716058767e-16
"$6,1_3$",0.2357022603955154
"$6,1_4$",3.9709961082441115e-17
"$6,6_1$",0.23570226039551617
"$6,6_2$",8.848755134312989e-17
"$6,6_3$",0.23570226039551606
"$6,6_4$",-6.501729723460271e-17
"$2,3_1$",0.23570226039551617
"$2,3_2$",-9.141462447800797e-17
"$2,3_3$",0.23570226039551576
"$2,3_4$",-4.8949303924985904e-17
"$2,6_1$",0.23570226039551573
"$2,6_2$",1.9965099099051717e-16
"$2,6_3$",0.23570226039551576
"$2,6_4$",1.0968925128455344e-16
"$3,6_1$",0.23570226039551587
"$3,6_2$",1.0115701231050443e-16
"$3,6_3$",0.23570226039551592
"$3,6_4$",-8.292038568863664e-17
"$3,6_5$",0.23570226039551578
"$3,6_6$",-5.569330935099188e-17
"$3,6_7$",0.2357022603955158
"$3,6_8$",-0.0
